Prime Number,Num Service,Users,Avg_Latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,Throughput,error_rate,A_last_one_minutes_la,A_last_five_minutes_la,A_last_fifteen_minutes_la,B_last_one_minutes_la,B_last_five_minutes_la,B_last_fifteen_minutes_la,,,,,,
100003,3,700,339.963811,7,2220,651,760,989,2057.673847,0,4.13,4.18,4.14,26.42,25.18,22.25,27.14,25.44,22.59,15.77,16.6,15.67
100003,3,1000,514.5148009,3,3109,943,1072,1296.99,1940.263058,0.04850068502,4.2,4.91,4.72,27.78,26.45,24.73,20.96,22.92,23.61,29.62,26.79,22.55
1000003,1,1,32.29613618,30,327,33,34,36,30.84387714,0,0.1,0.2,0.75,0.93,3.66,21.35,,,,,,
1000003,1,2,32.48898367,30,352,34,37,48,61.35068511,0,0.23,0.17,0.36,1.69,1.9,9.22,,,,,,
1000003,1,50,529.9003552,41,1384,694,745,850,94.27699752,0,0.07,0.17,0.24,26.04,22.79,18.56,,,,,,
1000003,1,100,1042.530289,41,2993,1457,1601,1884,95.7784665,0,0.14,0.22,0.25,29.33,28.65,25.05,,,,,,
1000003,1,300,3008.401823,1710,4741,3457,3603,3909.99,99.28622199,0,0.25,0.34,0.31,31.03,28.72,27.45,,,,,,
1000003,1,500,5154.875917,3833,6856,5622,5773,6087,96.24908609,0,0.61,0.38,0.33,28.58,28.79,28.79,,,,,,
1000003,1,700,7089.603961,5785,8772,7553,7696,7977,97.67334488,0,0.22,0.45,0.43,30.65,29.7,29.39,,,,,,
1000003,1,1000,9489.987295,8137,11607,9923,10060,10349.98,103.8147877,0,0.27,0.35,0.41,30.25,31.65,31.03,,,,,,
1000003,2,1,62.63607827,31,332,79,80,82,15.93093539,0,0.04,0.33,1.83,0.6,2.38,14.39,0.5,2.41,14.34,,,
1000003,2,2,54.88847124,33,336,72,74,79,36.35706084,0,0.43,0.17,0.75,1.27,1.12,5.97,0.82,1.02,5.96,,,
1000003,2,50,324.9710883,41,909,528,570,647,153.7186586,0,0.37,0.44,0.56,16.08,14.43,11.45,14.79,14.28,11.19,,,
1000003,2,100,563.3289091,42,1850,893,1012,1240.99,177.3602383,0,0.32,0.42,0.49,19.37,19.3,16.79,23.05,19.72,16.59,,,
1000003,2,300,1574.281546,280,3188,1944,2066,2302,190.1217975,0,0.51,0.83,0.79,17.56,23,21.93,36.74,32.12,26.55,,,
1000003,2,500,2598.376092,1298,4328,2997,3138,3425.98,191.6520827,0,0.82,0.82,0.77,31.88,27.45,24.86,36.71,35.39,31.83,,,
1000003,2,700,3630.992442,2451,5388,3992.9,4117.95,4354,191.7211582,0,0.87,0.96,0.91,14.55,20.32,23.08,30.38,34.81,34.16,,,
1000003,2,1000,5010.64685,3736,7671,5404,5543,5832.99,197.9942537,0,0.67,0.76,0.81,35.16,36.68,32.44,27.44,27.57,30.51,,,
1000003,3,1,89.9009009,33,121,105,106,108,11.10092508,0,0.07,0.32,1.82,0.43,1.63,9.57,0.2,1.37,9.12,0.36,1.63,8.74
1000003,3,2,79.72713962,41,133,99,100,106,25.04529521,0,0.04,0.15,0.78,0.37,0.49,3.89,0.5,0.54,3.75,0.67,0.7,3.68
1000003,3,50,356.9982869,44,819,576,606,649,139.9912734,0,0.49,0.53,0.62,13.68,9.89,7.21,12.18,9.64,7.72,9.05,10.05,7.94
1000003,3,100,391.026795,43,1686,653,752,927,255.5427829,0,1.2,1.13,0.92,14.2,15.3,12.45,15.2,15.65,12.81,10.56,12.79,11.46
1000003,3,300,1076.569371,85,2933,1435,1555,1793.99,278.1768554,0,1.22,1.53,1.31,26.94,28.26,22.41,27.27,29.49,23.79,37.11,32.73,25.28
1000003,3,500,1710.887635,495,3504,2113,2252,2522.98,291.4573199,0,1.74,1.58,1.5,41.35,40.59,34.19,35.04,32.7,29.23,44.04,37.77,32.15
1000003,3,700,2373.920989,1037,4951,2848.9,3007,3310,293.8455226,0,1.35,1.45,1.46,41.03,43.57,40.56,42.98,41.39,37.64,54.63,48.69,40.84
1000003,3,1000,3421.978126,1984,5764,3869,4013,4279,290.6846259,0,2.21,1.56,1.46,43.01,45.43,44.36,46.39,46.79,44.1,8.4,14.58,23.85
10000019,1,1,291.8359299,281,686,302,307,314.45,3.424183672,0,0,0.02,0,1.03,1.01,1.28,,,,,,
10000019,1,2,301.732327,289,607,307,353.2,431,6.623896017,0,0,0.02,0,2.07,1.98,1.76,,,,,,
10000019,1,50,5241.998425,2186,10112,5930.2,6087,6387.72,9.482897421,0,0.04,0.06,0.01,21.41,22.96,15.85,,,,,,
10000019,1,100,10112.78813,4656,14077,11598.5,11994.25,12732.95,9.78101055,0,0.08,0.04,0.01,28.31,29.41,24.32,,,,,,
10000019,1,300,30163.19158,22693,37314,31812.8,32286.9,33125.9,9.538790441,0,0.04,0.06,0.02,23.54,26.46,26.15,,,,,,
10000019,1,500,51059.66468,44526,56032,52703.7,53102.7,53925.13,9.089572224,0,0.72,0.18,0.05,21.55,26.81,27.01,,,,,,
10000019,1,700,58848.50217,54133,60281,60006,60007,60029,10.94243415,24.34697583,0.02,0.08,0.06,25.09,25.36,17.69,,,,,,
10000019,1,1000,60028.62866,60002,61075,60038,60056,61020,15.1553503,100,0,0.05,0.07,31.19,28.06,23.91,,,,,,
10000019,2,1,323.3721683,292,674,352,355,361.45,3.090262672,0,0.05,0.08,0.04,0.48,0.45,0.3,0.52,0.48,0.31,,,
10000019,2,2,351.7014663,282,602,413,438.45,489.89,5.682992354,0,0,0.02,0.01,1.17,1.1,0.85,0.9,0.91,0.69,,,
10000019,2,50,2575.178976,764,4195,3057,3203,3497,19.35238323,0,0.03,0.08,0.04,24.33,23.2,15.25,4.55,4.85,3.47,,,
10000019,2,100,5355.140184,1556,11150,7476.2,8187.8,9402.12,18.54206364,0,0.22,0.15,0.1,21.01,21.37,19.05,21.33,18.95,13.21,,,
10000019,2,300,15820.04993,10848,19971,16942,17270.2,17856,18.50583483,0,0.16,0.13,0.09,21.97,28.47,25.33,3.47,4.36,7.32,,,
10000019,2,500,26171.28287,21857,29984,27319,27678.5,28304.25,18.38004031,0,0.08,0.14,0.11,4.24,9.16,16.4,34.45,29.53,21.35,,,
10000019,2,700,35157.60635,30927,39016,36294.7,36624.85,37266.99,18.82343298,0,0.01,0.06,0.08,25.18,25.33,22.62,5.44,6.06,10.93,,,
10000019,2,1000,49614.07502,45840,53179,50792.9,51146.45,51847.9,18.6463002,0,0.04,0.09,0.08,30.77,29.17,26.82,4.91,5.24,7.22,,,
10000019,3,1,344.4948276,294,413,377,390,400,2.900966989,0,0.1,0.05,0.01,0.14,0.26,0.18,0.3,0.26,0.16,0.45,0.43,0.28
10000019,3,2,364.5353996,291,1139,413,430.4,476,5.483327585,0,0.04,0.06,0.03,0.56,0.68,0.48,0.72,0.78,0.55,0.71,0.69,0.55
10000019,3,50,1877.891537,578,4681,2786,3067.6,3614,26.56534823,0,0.08,0.09,0.08,14.35,14.03,9.51,12.15,13.06,8.97,6.02,6.24,4.33
10000019,3,100,3464.92254,825,6319,4266,4506,5031,28.73098466,0,0.31,0.28,0.19,27.68,27.81,21.56,8.64,6.54,6.99,7.66,6.11,5.32
10000019,3,300,10553.98546,6828,14901,11466,11719.8,12193.44,28.01183492,0,0.23,0.19,0.18,6.41,8.73,14.04,14.47,17.58,14.94,27.83,28,20.65
10000019,3,500,16602.07689,12901,19589,17526,17805,18315.35,29.29922875,0,0.23,0.2,0.19,26.55,27.63,23.42,5.28,5.83,8.83,5.17,6.97,11.53
10000019,3,700,23672.99363,18918,27810,24636,24939.15,25548,28.47679036,0,0.16,0.2,0.2,7.98,14.25,19.61,33.33,28.64,21.35,6.35,5.11,7.36
10000019,3,1000,34342.2538,30385,38279,35377.8,35693,36329.48,27.51091703,0,0.2,0.12,0.13,23.05,27.68,25.75,16.74,13.53,15.37,5.26,5.51,6.26
