Prime Number,Num Service,Users,Throughput,Avg_Latency,percentile_10,percentile_50,percentile_90,percentile_99,percentile_99.9,percentile_99.99,Std,Tail Index,popt,,,
100003,2,1000,1530.268155,652.5197541,377,630,947,1352,2023.228,3825,244.5293646,-6.95116746,[-6.95116746 20.14954651],,,
100003,3,1,62.67678527,15.82325878,15,16,17,19,20,22,2.265196815,1.49E-04,[1.48661093e-04 1.22005285e+00],,,
100003,3,2,131.6997882,15.07483389,14,15,16,18,20,22,1.746449403,2.14E-04,[2.14156958e-04 1.33880492e+00],,,
100003,3,50,1951.019007,25.55815595,14,23,40,69,109,158,12.32994951,0.00256907,[0.00256907 0.34297649],,,
100003,3,100,2234.611628,44.68743059,21,38,77,137,202,315,25.94799289,0.0101544,[ 0.0101544 -0.2943715],,,
100003,3,300,1986.539455,150.9142483,60,133,269,436,578,737.7978,87.58140252,-9.96005739,[-9.96005739 24.47781678],,,
100003,3,500,1878.889948,265.9421093,119,246,448,653,819,992,132.7310034,-11.01308395,[-11.01308395  29.05165663],,,
100003,3,700,1890.71876,369.8523937,184,344,591,843,1044,1219.5375,163.3958225,-11.85079288,[-11.85079288  32.69721352],,,
100003,3,1000,1876.414768,532.9846287,287,506,820,1139,1587,2076,217.2760675,-9.37176028,[-9.37176028 26.90714373],,,
1000003,1,1,32.64641468,30.48154388,29,30,32,33,40,55.0414,1.156601914,0.01879972,[0.01879972 1.49317739],,,
1000003,1,2,65.81263251,30.24748012,29,29,31,48,63,71,3.393959227,0.01845722,[0.01845722 0.99740809],,,
1000003,1,50,96.92967987,515.4130155,367,515,674,834,971,1109.824,131.7918335,-14.94672906,[-14.94672906  41.65647916],,,
1000003,1,100,95.74041039,1043.022321,663,1038,1438,1832,2172,2493.088,316.9251397,-13.54719846,[-13.54719846  42.16362616],,,
1000003,1,300,97.57057064,3061.752641,2620,3054,3521,3973.2,4329.1,4601.854,367.5096415,-29.98657009,[-29.98657009 105.96205502],,,
1000003,1,500,95.5244274,5193.625799,4767,5188,5641,6080,6434.016,6772.143,358.6875447,-43.41645028,[-43.41645028 162.3402632 ],,,
1000003,1,700,102.0390991,6789.200773,6372,6783,7229,7664,8038,8287.631,351.0608621,-67.90984506,[-67.90984506 262.06028819],,,
1000003,1,1000,102.5760193,9603.562431,9200,9598,10028,10451,10823,11113.256,341.4056708,-74.44354227,[-74.44354227 297.23936589],,,
1000003,2,1,17.44735539,57.16642782,40,55,79,89,94.534,212.6876,14.91758859,0.00212332,[0.00212332 0.21886239],,,
1000003,2,2,41.42290935,48.15853217,36,45,65,83,92,248,12.22913487,0.00164778,[0.00164778 0.35067476],,,
1000003,2,50,145.857011,342.5398686,151,333,544,664,779.476,847.238,148.5685334,-19.75271342,[-19.75271342  53.92115036],,,
1000003,2,100,175.4249781,569.6015364,314,541,872,1198,1455.689,1680.1579,223.4319589,-17.30982363,[-17.30982363  51.60024052],,,
1000003,2,300,179.7853801,1665.380504,1227,1660,2103,2519,2861.989,3169,341.7958552,-21.12520622,[-21.12520622  69.96104292],,,
1000003,2,500,176.4032207,2824.0395,2237,2789,3464,3927.74,4303,5012.3874,471.6306301,-10.80680049,[-10.80680049  36.29673935],,,
1000003,2,700,175.4460006,3969.769613,3354,3901,4690,5485,6072,6525.9043,539.6996378,-23.55014454,[-23.55014454  86.07640962],,,
1000003,2,1000,170.2781908,5832.742026,5248,5792,6479,7225,7979,9040.996,502.228711,-22.35890013,[-22.35890013  84.27524703],,,
1000003,3,1,11.51578691,86.6701404,62,88,103,107,111,112.3092,16.02923427,0.46439385,[ 0.46439385 -0.77665562],,,
1000003,3,2,24.6303284,81.05623224,59,83,99,104,116,175.7077,15.50831827,0.00620275,[0.00620275 0.18247463],,,
1000003,3,50,130.3973344,383.1359891,143,408,597,682,743,809.384,172.8687285,-29.32381371,[-29.32381371  81.17267091],,,
1000003,3,100,215.7822916,462.9488371,236,431,739,997,1186,1385.1479,197.0891753,-12.21060485,[-12.21060485  34.52829754],,,
1000003,3,300,227.0056996,1287.05147,749,1105,1561,7251.9,25847.73,26975.865,1691.899605,-1.65103036,[-1.65103036  4.51001188],,,
1000003,3,500,288.2502619,1730.00521,1383,1713,2097,2507,2856.68,3195.036,286.7352528,-18.45035533,[-18.45035533  60.72484822],,,
1000003,3,700,270.0942693,2583.295174,2053,2569,3119,3655,4167.29,4565.038,420.3185072,-24.61734984,[-24.61734984  85.96427145],,,
1000003,3,1000,252.7123723,3938.566755,3309,3884,4652,5347,5880.854,6680.9182,526.3684819,-21.7557319,[-21.7557319   79.07448339],,,
10000019,1,1,3.432324529,291.0752793,281,287,306,313,320.826,574.3498,12.27666601,0.00142127,[0.00142127 0.34778994],,,
10000019,1,2,6.697563114,298.2908684,286,292,304,419.64,492.946,592.5786,24.31470789,0.04168846,[ 0.04168846 -0.30829916],,,
10000019,1,50,9.670174996,5137.149674,4383.5,5209,5781,6223.75,6541.125,6833.17,559.9528282,-39.95166803,[-39.95166803 149.48853627],,,
10000019,1,100,9.642720193,10252.49726,8717.6,10297.5,11742.7,12960.7,13855.112,14674.6668,1214.334141,-28.88012299,[-28.88012299 116.71669629],,,
10000019,1,300,9.448627292,30445.76127,28760.1,30500.5,32075.9,33379.98,34416.91,34925.3287,1319.003678,-72.12904286,[-72.12904286 324.23291651],,,
10000019,1,500,9.30654018,50015.76009,48376.4,50083,51599.3,52812.03,53635.228,54403.7602,1309.262199,-135.9621421,[-135.96214214  640.1164168 ],,,
10000019,1,700,9.064416329,69406.5497,67713.5,69415,71116,72807.95,74433.47,75239.4045,1367.01966,-108.6664312,[-108.66643121  526.38118163],,,
